Source,Target,Weight
Gn_0,L_0,10
Gn_4,L_3,8
Gn_1,L_1,9
Gn_10,L_4,9
Gn_5,L_3,10
Gn_10,L_3,2
Gn_6,L_3,3
Gn_4,L_2,6
Gn_1,L_3,1
Gn_7,L_4,1
Gn_2,L_5,2
Gn_3,L_5,13
Gn_3,L_3,1
Gn_9,L_5,2
